p1,p2,p3,n1,n2,n3
0.034927,0.036522,0.032718,0.036818,0.035281,0.062757
0.036522,0.032718,0.036818,0.035281,0.062757,0.043783
0.032718,0.036818,0.035281,0.062757,0.043783,0.063792
0.036818,0.035281,0.062757,0.043783,0.063792,0.046642
0.035281,0.062757,0.043783,0.063792,0.046642,0.063269
0.062757,0.043783,0.063792,0.046642,0.063269,0.050807
0.043783,0.063792,0.046642,0.063269,0.050807,0.045515
0.063792,0.046642,0.063269,0.050807,0.045515,0.042675
0.046642,0.063269,0.050807,0.045515,0.042675,0.042075
0.063269,0.050807,0.045515,0.042675,0.042075,0.039377
0.050807,0.045515,0.042675,0.042075,0.039377,0.035957
0.045515,0.042675,0.042075,0.039377,0.035957,0.033278
0.042675,0.042075,0.039377,0.035957,0.033278,0.055999
0.042075,0.039377,0.035957,0.033278,0.055999,0.03871
0.039377,0.035957,0.033278,0.055999,0.03871,0.041938
0.035957,0.033278,0.055999,0.03871,0.041938,0.037049
0.033278,0.055999,0.03871,0.041938,0.037049,0.032143
0.055999,0.03871,0.041938,0.037049,0.032143,0.041327
0.03871,0.041938,0.037049,0.032143,0.041327,0.03874
0.041938,0.037049,0.032143,0.041327,0.03874,0.03613
0.037049,0.032143,0.041327,0.03874,0.03613,0.030693
0.032143,0.041327,0.03874,0.03613,0.030693,0.032116
0.041327,0.03874,0.03613,0.030693,0.032116,0.043037
0.03874,0.03613,0.030693,0.032116,0.043037,0.035082
0.03613,0.030693,0.032116,0.043037,0.035082,0.034991
0.030693,0.032116,0.043037,0.035082,0.034991,0.038058
0.032116,0.043037,0.035082,0.034991,0.038058,0.032385
0.043037,0.035082,0.034991,0.038058,0.032385,0.032865
0.035082,0.034991,0.038058,0.032385,0.032865,0.045153
0.034991,0.038058,0.032385,0.032865,0.045153,0.030875
0.038058,0.032385,0.032865,0.045153,0.030875,0.037845
0.032385,0.032865,0.045153,0.030875,0.037845,0.035284
0.032865,0.045153,0.030875,0.037845,0.035284,0.034453
0.045153,0.030875,0.037845,0.035284,0.034453,0.039211
0.030875,0.037845,0.035284,0.034453,0.039211,0.030685
0.037845,0.035284,0.034453,0.039211,0.030685,0.028929
0.035284,0.034453,0.039211,0.030685,0.028929,0.035039
0.034453,0.039211,0.030685,0.028929,0.035039,0.030831
0.039211,0.030685,0.028929,0.035039,0.030831,0.034493
0.030685,0.028929,0.035039,0.030831,0.034493,0.025047
0.028929,0.035039,0.030831,0.034493,0.025047,0.036689
